task,seed,status,ood_length,ood_accuracy,rho_mean_ablation,rho_zero_ablation,n_hidden_heroes,n_gradient_bloats
reverse,42,valid,8.0,0.7,0.6757074129188293,0.7181631012596675,2.0,2.0
reverse,123,valid,9.0,0.55,0.7486834324091498,0.691237356141671,0.0,1.0
reverse,456,valid,8.0,0.63,0.741804316037527,0.7308999766207843,0.0,1.0
reverse,789,valid,9.0,0.68,0.8337759893673831,0.845609404602992,1.0,2.0
reverse,1010,valid,9.0,0.38,0.7892978850521247,0.7497182046491258,1.0,1.0
reverse,2020,valid,9.0,0.55,0.6182235926657798,0.4198646786776941,3.0,4.0
reverse,3030,valid,9.0,0.71,0.708803812391376,0.8732606860505767,1.0,1.0
reverse,4040,valid,9.0,0.44,0.8616900660129446,0.7954816366134713,0.0,1.0
reverse,5050,valid,9.0,0.37,0.833271137094962,0.8154090687243136,0.0,1.0
reverse,6060,skipped_excluded_from_this_task,,,,,,
sort,42,valid,10.0,0.66,0.5305698153912726,0.20889989467123435,2.0,3.0
sort,123,valid,11.0,0.65,0.13263033139737826,0.2728995552902284,4.0,4.0
sort,456,valid,10.0,0.72,0.003767907141970973,0.16749298787182648,4.0,5.0
sort,789,valid,10.0,0.7,0.45991749301266643,0.5896091023840505,2.0,2.0
sort,1010,valid,11.0,0.7,0.20331348358070708,0.2500002835140546,4.0,4.0
sort,2020,valid,10.0,0.75,0.05969093521765536,0.13665651985101923,4.0,5.0
sort,3030,valid,10.0,0.73,0.65034077270419,0.37994855211678213,2.0,2.0
sort,4040,valid,10.0,0.71,0.3144029616469478,0.4193080918310697,3.0,3.0
sort,5050,valid,9.0,0.73,-0.05446393218784746,0.110273035640438,6.0,5.0
sort,6060,valid,10.0,0.6,0.597062010469229,0.3296839404864218,4.0,2.0
